x,y,z
-9.252876,-6.341199,-9.688659
-8.231501,-6.659431,-9.642732
-7.210261,-6.939482,-9.614398
-6.185535,-7.192513,-9.586248
-5.165453,-7.388279,-9.552756
-4.146317,-7.548965,-9.528184
-3.129652,-7.663707,-9.500355
-2.120041,-7.748053,-9.480833
-1.11202,-7.803564,-9.460352
-0.097471,-7.84654,-9.449421
0.918301,-7.816676,-9.421937
1.929478,-7.784984,-9.417376
2.943197,-7.718361,-9.40629
3.959261,-7.614707,-9.40357
4.974264,-7.491975,-9.396353
5.994979,-7.335605,-9.399213
7.014208,-7.106345,-9.392685
8.032382,-6.847915,-9.390855
9.058419,-6.587895,-9.388932
10.096085,-6.284422,-9.389244
-9.264167,-6.685215,-8.668407
-8.239692,-7.005437,-8.631007
-7.218171,-7.285882,-8.599132
-6.190582,-7.525602,-8.571403
-5.172436,-7.717864,-8.540462
-4.157028,-7.852264,-8.512757
-3.138833,-7.977373,-8.492828
-2.1329,-8.089223,-8.476566
-1.124546,-8.129606,-8.455573
-0.112855,-8.161662,-8.445459
0.896838,-8.149928,-8.420966
1.90549,-8.106464,-8.407809
2.917607,-8.042629,-8.400639
3.934286,-7.942068,-8.389134
4.950859,-7.803245,-8.383521
5.966133,-7.622545,-8.379786
6.991024,-7.418379,-8.378885
8.004706,-7.171788,-8.371814
9.02474,-6.893179,-8.366808
10.058887,-6.617045,-8.370611
-9.270267,-6.994969,-7.637608
-8.248587,-7.306773,-7.606964
-7.223477,-7.576978,-7.575061
-6.202579,-7.830996,-7.550386
-5.182218,-8.006801,-7.523038
-4.165094,-8.158706,-7.49581
-3.153526,-8.278818,-7.474911
-2.14688,-8.371262,-7.456078
-1.140038,-8.427593,-7.437082
-0.131354,-8.45786,-7.42847
0.881208,-8.442688,-7.404341
1.885721,-8.416845,-7.390749
2.895004,-8.328943,-7.380117
3.911355,-8.22326,-7.37356
4.928757,-8.100697,-7.364479
5.941308,-7.926607,-7.36278
6.962971,-7.71282,-7.356047
7.985704,-7.46757,-7.351677
8.999257,-7.190079,-7.342967
10.022745,-6.903153,-7.340547
-9.272692,-7.249314,-6.613455
-8.253851,-7.55915,-6.581292
-7.233584,-7.853161,-6.556839
-6.2091,-8.075,-6.531741
-5.190756,-8.267316,-6.501265
-4.17679,-8.423716,-6.479922
-3.162767,-8.548661,-6.459524
-2.157154,-8.64333,-6.442121
-1.15412,-8.691944,-6.424373
-0.148048,-8.71637,-6.411641
0.861648,-8.708475,-6.392285
1.868269,-8.645544,-6.373766
2.877786,-8.571458,-6.360678
3.888822,-8.478564,-6.35436
4.902451,-8.364459,-6.348325
5.919302,-8.180962,-6.341147
6.94088,-7.963216,-6.338386
7.958985,-7.715922,-6.330231
8.973412,-7.441714,-6.326049
9.990732,-7.116797,-6.314459
-9.275615,-7.481574,-5.583086
-8.260918,-7.77977,-5.556977
-7.240382,-8.064313,-5.533738
-6.214397,-8.306338,-5.507931
-5.197835,-8.489392,-5.482612
-4.18719,-8.652141,-5.463259
-3.179403,-8.773144,-5.444614
-2.172373,-8.862376,-5.423983
-1.168417,-8.912318,-5.410261
-0.165778,-8.94431,-5.395923
0.845476,-8.925156,-5.373454
1.849282,-8.874588,-5.357279
2.857874,-8.793661,-5.346707
3.865598,-8.680539,-5.340434
4.879388,-8.557345,-5.331917
5.895082,-8.38097,-5.323188
6.918806,-8.17495,-5.321663
7.932612,-7.92221,-5.317341
8.952838,-7.653861,-5.308183
9.973221,-7.360142,-5.301459
-9.283239,-7.670638,-4.571218
-8.266094,-7.974621,-4.542351
-7.244812,-8.255498,-4.517696
-6.223153,-8.478342,-4.496027
-5.211939,-8.687131,-4.472643
-4.198098,-8.842089,-4.451454
-3.186581,-8.937924,-4.432837
-2.182448,-9.042889,-4.414526
-1.181423,-9.107208,-4.402158
-0.180705,-9.129084,-4.386767
0.828575,-9.112937,-4.369418
1.831457,-9.061907,-4.352513
2.838303,-8.984934,-4.341099
3.85621,-8.85953,-4.332609
4.86415,-8.724712,-4.321949
5.873574,-8.560322,-4.314313
6.896754,-8.341239,-4.310092
7.916978,-8.11555,-4.301953
8.931581,-7.82967,-4.296306
9.945428,-7.522887,-4.284533
-9.289399,-7.817725,-3.548045
-8.27079,-8.127685,-3.529115
-7.251082,-8.399257,-3.509522
-6.231187,-8.626811,-3.485013
-5.217431,-8.830684,-3.462004
-4.204936,-8.976657,-3.44166
-3.196884,-9.102869,-3.426447
-2.200023,-9.201309,-3.408796
-1.196094,-9.248558,-3.395101
-0.191482,-9.25951,-3.381746
0.817709,-9.233817,-3.364308
1.818936,-9.18182,-3.350002
2.828232,-9.128771,-3.336163
3.83231,-9.016987,-3.328553
4.845373,-8.866979,-3.317031
5.858437,-8.696349,-3.308105
6.878452,-8.493943,-3.299756
7.895781,-8.244936,-3.292306
8.91458,-7.986969,-3.280874
9.92616,-7.665846,-3.275107
-9.298709,-7.921434,-2.541133
-8.282586,-8.222962,-2.525163
-7.262382,-8.487431,-2.498616
-6.243088,-8.739935,-2.478821
-5.232456,-8.925216,-2.457477
-4.219905,-9.087715,-2.439377
-3.211233,-9.206906,-2.424775
-2.211786,-9.298521,-2.405525
-1.211837,-9.349889,-2.393659
-0.210087,-9.357721,-2.383598
0.796822,-9.365568,-2.362732
1.800573,-9.298413,-2.354587
2.805483,-9.227388,-2.341562
3.813144,-9.114569,-2.324768
4.827616,-8.977173,-2.31735
5.841664,-8.797951,-2.304589
6.86044,-8.606454,-2.298682
7.877009,-8.345735,-2.289204
8.897038,-8.091186,-2.277115
9.903152,-7.781526,-2.261326
-9.304332,-7.988396,-1.533726
-8.29218,-8.29129,-1.517866
-7.269526,-8.549203,-1.495551
-6.253621,-8.794234,-1.471922
-5.239232,-8.989833,-1.454283
-4.230152,-9.166178,-1.438562
-3.223809,-9.274858,-1.42234
-2.228829,-9.37468,-1.404266
-1.223896,-9.415907,-1.394296
-0.221747,-9.426137,-1.38236
0.785624,-9.413614,-1.365158
1.784586,-9.377439,-1.353887
2.788223,-9.272369,-1.341976
3.797693,-9.182033,-1.326164
4.810677,-9.023792,-1.312801
5.823493,-8.855558,-1.300824
6.842365,-8.658658,-1.292937
7.859305,-8.428635,-1.278915
8.875568,-8.152694,-1.271158
9.888252,-7.840076,-1.257277
-9.316737,-8.012268,-0.528555
-8.303361,-8.330316,-0.517118
-7.281267,-8.584484,-0.496993
-6.26196,-8.819556,-0.478641
-5.249772,-9.028122,-0.455493
-4.242506,-9.19278,-0.440009
-3.234833,-9.301971,-0.428412
-2.237781,-9.388223,-0.40965
-1.235193,-9.447973,-0.395902
-0.237385,-9.469513,-0.386724
0.769268,-9.449564,-0.370346
1.772294,-9.402753,-0.354217
2.779729,-9.31787,-0.342952
3.784397,-9.215894,-0.325858
4.797873,-9.074027,-0.309384
5.808887,-8.90067,-0.298369
6.828172,-8.707761,-0.287567
7.843844,-8.449629,-0.273675
8.862221,-8.181858,-0.259219
9.870922,-7.869006,-0.24509
-9.32236,-8.007701,0.481447
-8.300476,-8.318149,0.495009
-7.28307,-8.585914,0.506608
-6.269849,-8.826561,0.529851
-5.255263,-9.019002,0.544903
